호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,4총합,05시-06시 승차인원,05시-06시 하차인원,5총합,06시-07시 승차인원,06시-07시 하차인원,6총합,07시-08시 승차인원,07시-08시 하차인원,7총합,08시-09시 승차인원,08시-09시 하차인원,8총합,09시-10시 승차인원,09시-10시 하차인원,9총합,10시-11시 승차인원,10시-11시 하차인원,10총합,11시-12시 승차인원,11시-12시 하차인원,11총합,12시-13시 승차인원,12시-13시 하차인원,12총합,13시-14시 승차인원,13시-14시 하차인원,13총합,14시-15시 승차인원,14시-15시 하차인원,14총합,15시-16시 승차인원,15시-16시 하차인원,15총합,16시-17시 승차인원,16시-17시 하차인원,16총합,17시-18시 승차인원,17시-18시 하차인원,17총합,18시-19시 승차인원,18시-19시 하차인원,18총합,19시-20시 승차인원,19시-20시 하차인원,19총합,20시-21시 승차인원,20시-21시 하차인원,20총합,21시-22시 승차인원,21시-22시 하차인원,21총합,22시-23시 승차인원,22시-23시 하차인원,22총합,23시-24시 승차인원,23시-24시 하차인원,23총합,00시-01시 승차인원,00시-01시 하차인원,24총합,01시-02시 승차인원,01시-02시 하차인원,1총합,02시-03시 승차인원,02시-03시 하차인원,2총합,03시-04시 승차인원,03시-04시 하차인원,3총합
1호선,동대문,752,11,763,11312,2172,13484,9472,7060,16532,16027,11982,28009,21051,20818,41869,20787,24205,44992,17918,27031,44949,19841,31297,51138,24733,31039,55772,28081,28255,56336,29880,27711,57591,31585,24769,56354,30846,24434,55280,28765,23949,52714,26205,24124,50329,19032,22535,41567,16732,15998,32730,14861,14204,29065,11516,12986,24502,5412,9867,15279,770,3104,3874,1,284,285,0,0,0,0,0,0
1호선,동묘앞,203,3,206,2895,955,3850,4036,5164,9200,8464,9867,18331,13685,23427,37112,12289,18410,30699,13795,25884,39679,18265,35227,53492,26194,39702,65896,36141,44501,80642,40882,37781,78663,41834,31734,73568,41655,23207,64862,38198,16795,54993,25401,13343,38744,11530,9756,21286,6678,7133,13811,5608,7181,12789,4012,7022,11034,1323,4923,6246,135,2645,2780,0,278,278,0,0,0,0,0,0
1호선,서울역,686,25,711,8354,8884,17238,13709,59387,73096,43653,115326,158979,72903,238393,311296,69830,161833,231663,68795,91155,159950,83865,81706,165571,94365,88972,183337,93899,88296,182195,78565,82288,160853,113373,86086,199459,123522,90484,214006,185280,101964,287244,228062,97494,325556,126128,71462,197590,89851,50808,140659,90852,45787,136639,59033,31527,90560,27169,15365,42534,2922,3882,6804,0,249,249,0,0,0,0,0,0
1호선,시청,90,2,92,2209,5148,7357,4267,26852,31119,8516,71999,80515,12210,194812,207022,15411,91814,107225,17745,48252,65997,23267,46793,70060,24628,43140,67768,32523,42457,74980,42529,33888,76417,54825,30331,85156,66494,27634,94128,97336,28587,125923,160312,26166,186478,65313,13916,79229,56921,10505,67426,49842,9299,59141,30569,7361,37930,10115,4609,14724,588,1325,1913,0,44,44,0,0,0,0,0,0
1호선,신설동,354,41,395,8771,2125,10896,9802,8884,18686,22365,25682,48047,32886,56164,89050,22622,34163,56785,20212,23430,43642,22124,20688,42812,23991,21390,45381,26404,22120,48524,25727,20953,46680,27355,22199,49554,32074,23561,55635,44345,25425,69770,53917,33131,87048,22378,24588,46966,15696,16876,32572,13856,16369,30225,9731,14132,23863,4287,9845,14132,427,2938,3365,0,1,1,0,0,0,0,0,0
1호선,제기동,454,20,474,5248,2311,7559,9123,9142,18265,21627,20574,42201,33436,38629,72065,23726,32922,56648,25975,38938,64913,33474,47127,80601,40208,49439,89647,44610,51870,96480,49087,49405,98492,51973,41822,93795,49754,37055,86809,46026,30607,76633,40905,28910,69815,22802,19926,42728,15247,12939,28186,10010,12159,22169,6109,10296,16405,2658,6775,9433,197,1662,1859,1,1,2,0,1,1,0,0,0
1호선,종각,166,8,174,3937,5736,9673,4593,30251,34844,6932,110276,117208,11660,265184,276844,14215,148928,163143,19882,64798,84680,28828,62550,91378,34619,56496,91115,44934,54221,99155,56227,45718,101945,68384,39974,108358,83222,42263,125485,153022,47827,200849,219293,51618,270911,99833,25915,125748,86465,13392,99857,88535,10309,98844,63326,7564,70890,27626,4695,32321,1724,1489,3213,0,0,0,0,0,0,0,0,0
1호선,종로3가,181,14,195,4155,2562,6717,3762,12688,16450,6021,26436,32457,10148,67106,77254,15160,66502,81662,22152,58754,80906,32991,70821,103812,42507,73846,116353,51385,66456,117841,61695,58454,120149,71047,48864,119911,77347,46933,124280,88282,45179,133461,97794,44344,142138,61918,22457,84375,51467,12714,64181,53439,10241,63680,39711,8129,47840,17041,5336,22377,1532,2489,4021,0,43,43,0,0,0,0,0,0
1호선,종로5가,58,1,59,2084,3639,5723,3293,16308,19601,6024,41406,47430,10870,95776,106646,15633,67944,83577,26038,63208,89246,39395,67687,107082,49374,67490,116864,58751,58127,116878,67341,55937,123278,71046,46934,117980,74213,44506,118719,92141,38352,130493,101103,34894,135997,55914,20769,76683,40689,12441,53130,36167,8740,44907,20962,6396,27358,6554,4121,10675,401,1456,1857,0,1,1,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1099,38,1137,11050,2532,13582,18248,10453,28701,48605,18593,67198,59026,39334,98360,38315,39556,77871,34168,41658,75826,40463,50186,90649,47151,54708,101859,50178,57712,107890,53221,56185,109406,59783,52268,112051,63858,49975,113833,58808,50048,108856,50385,59427,109812,28647,39455,68102,22281,24829,47110,17667,23718,41385,11690,19773,31463,4778,12794,17572,339,3766,4105,1,1,2,0,0,0,0,0,0
1호선,평균,404,16,421,6002,3606,9608,8031,18619,26649,18823,45214,64038,27788,103964,131752,24799,68628,93427,26668,48311,74979,34251,51408,85660,40777,52622,93399,46691,51402,98092,50515,46832,97347,59121,42498,101619,64299,41005,105304,83220,40873,124094,100338,41345,141683,51350,27078,78427,40203,17764,57966,38084,15801,53884,25666,12519,38185,10696,7833,18529,904,2476,3379,0,90,91,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2호선,강남,160,11,171,8655,12033,20688,18221,55207,73428,40387,158391,198778,63749,306120,369869,55464,318875,374339,58090,155293,213383,76033,109319,185352,92545,107640,200185,108792,123821,232613,119338,109792,229130,145423,104716,250139,172540,113979,286519,250093,146469,396562,317800,186487,504287,216856,113971,330827,173723,62212,235935,196571,50420,246991,171155,41116,212271,78222,25058,103280,12818,6649,19467,2,16,18,0,0,0,0,0,0
2호선,강변(동서울터미널),30,0,30,9611,1957,11568,27577,19013,46590,78725,22925,101650,114915,39946,154861,86743,33711,120454,66177,35426,101603,59286,35150,94436,54489,39704,94193,51866,44707,96573,46205,48858,95063,49031,59449,108480,52951,66297,119248,56669,81861,138530,59119,108669,167788,40758,78444,119202,32245,55535,87780,27425,45694,73119,17237,41303,58540,6937,22207,29144,871,5739,6610,1,54,55,0,0,0,0,0,0
