½Ã°£,line1,line2,line3,line4,line5,line6,line7,line8,line9,Sillim Line,Ui-Sinseol Line
4,421,296,71,174,35,69,81,33,26,9,20
5,9608,12121,5745,9282,6254,5684,9140,6874,4682,2222,2272
6,26649,33532,22058,29079,18872,14061,23136,17881,14978,5400,5920
7,64038,85890,55945,68798,49979,35364,55728,45045,40284,16392,14987
8,131752,161527,88773,105294,77421,55117,92010,73167,63124,27551,20369
9,93427,116361,65258,77076,42473,34845,60464,42647,40301,17149,14859
10,74979,77852,50219,62027,30590,26243,40444,28755,27984,12481,12414
11,85660,72544,48027,62760,30072,25120,36613,27403,26717,11262,12501
12,93399,78053,49828,65505,32137,26845,38513,29812,29040,12333,12678
13,98092,83976,52520,68182,33974,29042,40080,31003,30762,13002,12942
14,97347,83501,53405,69185,33480,28281,39733,30983,30715,12986,12457
15,101619,91997,58382,75054,37350,31358,43675,34936,33060,14106,13539
16,105304,105696,65689,85982,43988,36922,51756,41664,38297,15209,15089
17,124094,139447,80457,100471,55736,43540,65373,51483,51229,17977,15612
18,141683,179345,95845,118992,74332,55826,84038,66281,64179,23511,17538
19,78427,114664,60809,81261,45067,38159,56467,42050,40551,14556,13423
20,57966,83454,43753,59849,31202,25837,37157,28945,28301,9983,8916
21,53884,78923,37518,54116,28258,24145,33137,25301,25913,8640,7916
22,38185,67421,30706,46331,23539,21821,27759,21224,21940,7745,6761
23,18529,35848,13946,24999,11995,12866,15176,10552,10976,4428,3742
24,3379,8367,3285,5715,3259,3348,4160,2850,2705,1521,1124
25,91,319,81,251,76,23,86,139,105,31,14
26,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
